#Index                     Name  Age   GPA         Career
     0              Teresa Bach   26  3.11        Physics
     1           Trevor Fawcett   24  3.29        Biology
     2              Monica Hoyt   22  2.94        Physics
     3            Lisa Crawford   24  0.27        Biology
     4         Chester Williams   20  3.41        Physics
     5               Alan Yates   27  2.34        Biology
     6           David Gillette   23  1.21        Physics
     7            Harry Hensley   24  2.22        Biology
     8               John Frank   26  3.54      Chemistry
     9                Marco Chu   20  1.50      Chemistry
    10         Kenneth Knobloch   25  2.46        Biology
    11              Carl Conley   23  1.73      Chemistry
    12             Daniel Oster   20  0.64        Physics
    13              David Cline   21  2.80        Biology
    14         Flossie Delarosa   24  0.23      Chemistry
    15            Annamae Brown   22  3.72        Physics
    16          Phyllis Binkley   20  2.73        Physics
    17            David Daniels   20  3.26        Biology
    18               Jose White   21  1.68      Chemistry
    19          Vickie Mcfadden   25  2.33        Physics
    20               James Halm   26  3.58      Chemistry
    21              Karen Davis   26  3.35        Physics
    22             Ronald Moore   20  0.30        Biology
    23            Daniel Daniel   26  3.85        Biology
    24             Dorothy Crow   25  1.76        Physics
    25          Lisa Schaunaman   22  3.43        Biology
    26             Steve Tyrone   24  3.47      Chemistry
    27          Christina Burke   22  3.84        Physics
    28        Virginia Kilkenny   23  2.97      Chemistry
    29           Bobby Haycraft   22  1.58        Physics
    30              Josef Avery   20  0.37        Biology
    31            Michael Reese   22  3.43        Biology
    32            Walter Gordon   25  1.04      Chemistry
    33           Sherman Slocum   22  0.53        Biology
    34            David Ramlall   22  1.53        Physics
    35          Beulah Engstrom   26  2.87      Chemistry
    36           Johnnie Cooper   25  0.31        Biology
    37          Elaine Burchett   20  1.24      Chemistry
    38             Darrell Bird   24  1.49        Physics
    39      Rosemary Montgomery   22  0.67        Biology
    40           Phyllis Whalen   20  0.88        Physics
    41            Loretta Taber   27  1.39        Biology
    42             Robin Rigsby   24  2.59        Physics
    43            James Pickens   25  0.73        Physics
    44            Stacie Waller   26  0.52      Chemistry
    45              Bruce Avila   27  1.12        Biology
    46             Mary Traxler   26  2.28        Biology
    47                 Sally Im   21  2.50        Physics
    48          Darlene Hampton   21  1.61      Chemistry
    49         John Constantine   21  1.13        Physics
    50             Velma Payton   27  0.72        Biology
    51               Kelly Wood   26  1.29        Biology
    52             Mary Tidwell   20  2.47        Physics
    53              Debbie Lowe   22  3.67        Biology
    54               Russ Jones   22  3.54        Physics
    55           Carl Rossignol   22  2.45        Physics
    56             Leroy Montez   22  1.41        Physics
    57            George Wright   21  3.33        Biology
    58              Carol Perez   21  1.43        Biology
    59          Mamie Rodriguez   27  1.30        Biology
    60               Gary Piere   26  0.83        Biology
    61            Derek Sanchez   24  3.77        Biology
    62              Brent Islam   22  2.55        Physics
    63              Susan Green   27  3.62        Biology
    64          Vivienne Morgan   23  1.52        Physics
    65           Wayne Lawrence   24  3.20        Physics
    66             Rosario Hall   20  1.08        Biology
    67         Antonia Randolph   27  2.95        Physics
    68            Greta Ikehara   27  1.84        Biology
    69            Lynette James   22  0.45        Physics
    70                John Rowe   26  2.64        Physics
    71          Cynthia Wolcott   22  0.34        Biology
    72       Stephanie Phillips   25  0.91      Chemistry
    73             Matthew Gray   26  2.04        Physics
    74             Sarah Norris   26  1.51      Chemistry
    75           Henry Younglas   24  3.58        Physics
    76           Matthew Topper   26  2.56        Physics
    77         Timothy Quesnell   21  1.00        Biology
    78             Julie Conlon   20  3.87        Biology
    79          Michael Jimenez   24  3.24      Chemistry
    80               John Clark   20  2.71        Physics
    81               Lea Haddad   22  3.19        Physics
    82           Lana Carathers   22  1.85        Biology
    83      Christine Tomlinson   27  2.90      Chemistry
    84         Samantha Mallory   23  1.53      Chemistry
    85            Antonio Young   27  0.63        Biology
    86             Loretta Sain   25  3.73        Physics
    87              Maria Baugh   27  2.29        Biology
    88            Margery Moore   22  2.13        Physics
    89             Ella Sartain   27  1.90        Physics
    90             Inez Carlson   27  2.67      Chemistry
    91              Diane White   26  2.62        Biology
    92         Margaret Fenster   24  2.86        Biology
    93          Michaela Suarez   26  1.43        Physics
    94            Brian Maloney   21  0.98        Physics
    95         Josephine Madera   27  0.22        Biology
    96             Stanley Ward   25  1.03        Biology
    97          Leslie Kimmerle   20  1.14        Biology
    98           Barbara Heaton   24  1.62        Physics
    99        Marilou Rodriques   27  2.73      Chemistry
   100              Loren Baker   23  2.55        Physics
   101        Lauren Obermiller   21  3.44        Physics
   102            Elaine Sparks   22  2.48        Physics
   103           Robert Holland   20  0.97        Biology
   104              Joseph Biro   24  0.70      Chemistry
   105           Marcus Kennedy   27  2.02        Biology
   106            Arthur Womack   24  1.19        Biology
   107               Barry Cook   26  3.30        Biology
   108             Aurora James   21  3.81        Biology
   109            Paul Brantley   24  1.76      Chemistry
   110      Alison Christianson   23  3.34        Physics
   111             Howard James   20  3.05        Biology
   112           Bree Schardein   25  0.58        Biology
